word,encoded_word,language
אתך,[ 1 22 25],Hebrew
עליונה,[16 12 10  6 14  5],Hebrew
nonprofit,[13 24 13 17 20 24 11 23  1],English
bargains,[14 21 20 16 21 23 13  4],English
permit,[17 19 20 18 23  1],English
naughty,[13 21  6 16 10  1  9],English
מהשדה,[13  5 21  4  5],Hebrew
pot,[17 24  1],English
oil,[24 23 25],English
נספו,[14 15 17  6],Hebrew
flexibility,[11 25 19 15 23 14 23 25 23  1  9],English
המחצית,[ 5 13  8 18 10 22],Hebrew
בקרן,[ 2 19 20 23],Hebrew
flag,[11 25 21 16],English
לזכויות,[12  7 11  6 10  6 22],Hebrew
שדרות,[21  4 20  6 22],Hebrew
snow,[ 4 13 24 29],English
פרסום,[17 20 15  6 24],Hebrew
בשינויים,[ 2 21 10 14  6 10 10 24],Hebrew
לקבוצות,[12 19  2  6 18  6 22],Hebrew
ספרו,[15 17 20  6],Hebrew
לתכנון,[12 22 11 14  6 23],Hebrew
group,[16 20 24  6 17],English
excessive,[19 15  2 19  4  4 23  5 19],English
הדרכים,[ 5  4 20 11 10 24],Hebrew
המוסלמים,[ 5 13  6 15 12 13 10 24],Hebrew
config,[ 2 24 13 11 23 16],English
digest,[ 3 23 16 19  4  1],English
schedules,[ 4  2 10 19  3  6 25 19  4],English
bloggers,[14 25 24 16 16 19 20  4],English
באו,[2 1 6],Hebrew
מתמדת,[13 22 13  4 22],Hebrew
xp,[15 17],English
ומשחק,[ 6 13 21  8 19],Hebrew
pa,[17 21],English
symptoms,[ 4  9 18 17  1 24 18  4],English
המושבה,[ 5 13  6 21  2  5],Hebrew
הדורשים,[ 5  4  6 20 21 10 24],Hebrew
מתן,[13 22 23],Hebrew
בחייו,[ 2  8 10 10  6],Hebrew
promotes,[17 20 24 18 24  1 19  4],English
רד,[20  4],Hebrew
להיצמד,[12  5 10 18 13  4],Hebrew
lights,[25 23 16 10  1  4],English
זמנית,[ 7 13 14 10 22],Hebrew
להוציא,[12  5  6 18 10  1],Hebrew
federal,[11 19  3 19 20 21 25],English
turkey,[ 1  6 20 12 19  9],English
triumph,[ 1 20 23  6 18 17 10],English
encouraging,[19 13  2 24  6 20 21 16 23 13 16],English
thumbnail,[ 1 10  6 18 14 13 21 23 25],English
לטהר,[12  9  5 20],Hebrew
היהודית,[ 5 10  5  6  4 10 22],Hebrew
למרד,[12 13 20  4],Hebrew
פגש,[17  3 21],Hebrew
בריאות,[ 2 20 10  1  6 22],Hebrew
collective,[ 2 24 25 25 19  2  1 23  5 19],English
ממלא,[13 13 12  1],Hebrew
להורות,[12  5  6 20  6 22],Hebrew
עמוק,[16 13  6 19],Hebrew
כפי,[11 17 10],Hebrew
tops,[ 1 24 17  4],English
נחל,[14  8 12],Hebrew
מפקדה,[13 17 19  4  5],Hebrew
רדיו,[20  4 10  6],Hebrew
hair,[10 21 23 20],English
giant,[16 23 21 13  1],English
רובי,[20  6  2 10],Hebrew
charter,[ 2 10 21 20  1 19 20],English
spouse,[ 4 17 24  6  4 19],English
nt,[13  1],English
materials,[18 21  1 19 20 23 21 25  4],English
dean,[ 3 19 21 13],English
למקדש,[12 13 19  4 21],Hebrew
משיקולים,[13 21 10 19  6 12 10 24],Hebrew
צולם,[18  6 12 24],Hebrew
נקבות,[14 19  2  6 22],Hebrew
interior,[23 13  1 19 20 23 24 20],English
grey,[16 20 19  9],English
עבים,[16  2 10 24],Hebrew
contribution,[ 2 24 13  1 20 23 14  6  1 23 24 13],English
draft,[ 3 20 21 11  1],English
tamil,[ 1 21 18 23 25],English
הוסיפו,[ 5  6 15 10 17  6],Hebrew
ירוק,[10 20  6 19],Hebrew
רמה,[20 13  5],Hebrew
usgs,[ 6  4 16  4],English
לספרות,[12 15 17 20  6 22],Hebrew
במבנים,[ 2 13  2 14 10 24],Hebrew
בתוכנית,[ 2 22  6 11 14 10 22],Hebrew
kingdom,[12 23 13 16  3 24 18],English
לתחילת,[12 22  8 10 12 22],Hebrew
בקרבת,[ 2 19 20  2 22],Hebrew
ind,[23 13  3],English
וכן,[ 6 11 23],Hebrew
הקהילות,[ 5 19  5 10 12  6 22],Hebrew
מוזיאון,[13  6  7 10  1  6 23],Hebrew
מאותה,[13  1  6 22  5],Hebrew
liability,[25 23 21 14 23 25 23  1  9],English
הביטחון,[ 5  2 10  9  8  6 23],Hebrew
מנה,[13 14  5],Hebrew
gadgets,[16 21  3 16 19  1  4],English
מינים,[13 10 14 10 24],Hebrew
מוצאת,[13  6 18  1 22],Hebrew
המשיכה,[ 5 13 21 10 11  5],Hebrew
מידע,[13 10  4 16],Hebrew
מתונה,[13 22  6 14  5],Hebrew
adapters,[21  3 21 17  1 19 20  4],English
caring,[ 2 21 20 23 13 16],English
בשאלת,[ 2 21  1 12 22],Hebrew
ספקות,[15 17 19  6 22],Hebrew
מוסלמית,[13  6 15 12 13 10 22],Hebrew
banks,[14 21 13 12  4],English
למימון,[12 13 10 13  6 23],Hebrew
thing,[ 1 10 23 13 16],English
wrote,[29 20 24  1 19],English
בסיפורים,[ 2 15 10 17  6 20 10 24],Hebrew
הציוני,[ 5 18 10  6 14 10],Hebrew
מובן,[13  6  2 23],Hebrew
כבדה,[11  2  4  5],Hebrew
spec,[ 4 17 19  2],English
להגיש,[12  5  3 10 21],Hebrew
עולם,[16  6 12 24],Hebrew
scripts,[ 4  2 20 23 17  1  4],English
שמחה,[21 13  8  5],Hebrew
transferred,[ 1 20 21 13  4 11 19 20 20 19  3],English
pre,[17 20 19],English
גשם,[ 3 21 24],Hebrew
מכריע,[13 11 20 10 16],Hebrew
תענוג,[22 16 14  6  3],Hebrew
בפועל,[ 2 17  6 16 12],Hebrew
מאגר,[13  1  3 20],Hebrew
הנפש,[ 5 14 17 21],Hebrew
הנוסעים,[ 5 14  6 15 16 10 24],Hebrew
scan,[ 4  2 21 13],English
chart,[ 2 10 21 20  1],English
להתקפה,[12  5 22 19 17  5],Hebrew
attribute,[21  1  1 20 23 14  6  1 19],English
indeed,[23 13  3 19 19  3],English
המתאימה,[ 5 13 22  1 10 13  5],Hebrew
הציגה,[ 5 18 10  3  5],Hebrew
לחבית,[12  8  2 10 22],Hebrew
diana,[ 3 23 21 13 21],English
treatments,[ 1 20 19 21  1 18 19 13  1  4],English
הבתה,[ 5  2 22  5],Hebrew
עוסק,[16  6 15 19],Hebrew
speakers,[ 4 17 19 21 12 19 20  4],English
סיבוב,[15 10  2  6  2],Hebrew
bangkok,[14 21 13 16 12 24 12],English
wall,[29 21 25 25],English
הופך,[ 5  6 17 25],Hebrew
laboratories,[25 21 14 24 20 21  1 24 20 23 19  4],English
attributes,[21  1  1 20 23 14  6  1 19  4],English
במשק,[ 2 13 21 19],Hebrew
באישור,[ 2  1 10 21  6 20],Hebrew
include,[23 13  2 25  6  3 19],English
נטיית,[14  9 10 10 22],Hebrew
logan,[25 24 16 21 13],English
וסיים,[ 6 15 10 10 24],Hebrew
היורשה,[ 5 10  6 20 21  5],Hebrew
streaming,[ 4  1 20 19 21 18 23 13 16],English
הגשרים,[ 5  3 21 20 10 24],Hebrew
colleague,[ 2 24 25 25 19 21 16  6 19],English
clinton,[ 2 25 23 13  1 24 13],English
kong,[12 24 13 16],English
stop,[ 4  1 24 17],English
mapping,[18 21 17 17 23 13 16],English
panama,[17 21 13 21 18 21],English
קורבן,[19  6 20  2 23],Hebrew
לרגלי,[12 20  3 12 10],Hebrew
המפנה,[ 5 13 17 14  5],Hebrew
prizes,[17 20 23  7 19  4],English
maintain,[18 21 23 13  1 21 23 13],English
gdp,[16  3 17],English
הכנרת,[ 5 11 14 20 22],Hebrew
sustained,[ 4  6  4  1 21 23 13 19  3],English
השוטר,[ 5 21  6  9 20],Hebrew
notice,[13 24  1 23  2 19],English
assigned,[21  4  4 23 16 13 19  3],English
לכיבוש,[12 11 10  2  6 21],Hebrew
קיצונית,[19 10 18  6 14 10 22],Hebrew
packets,[17 21  2 12 19  1  4],English
vocational,[ 5 24  2 21  1 23 24 13 21 25],English
misc,[18 23  4  2],English
fallen,[11 21 25 25 19 13],English
הזנב,[ 5  7 14  2],Hebrew
rest,[20 19  4  1],English
הצפוי,[ 5 18 17  6 10],Hebrew
true,[ 1 20  6 19],English
השמן,[ 5 21 13 23],Hebrew
shortly,[ 4 10 24 20  1 25  9],English
languages,[25 21 13 16  6 21 16 19  4],English
futures,[11  6  1  6 20 19  4],English
שחיו,[21  8 10  6],Hebrew
האבל,[ 5  1  2 12],Hebrew
צעירה,[18 16 10 20  5],Hebrew
הוצע,[ 5  6 18 16],Hebrew
בשום,[ 2 21  6 24],Hebrew
modules,[18 24  3  6 25 19  4],English
הקו,[ 5 19  6],Hebrew
brutal,[14 20  6  1 21 25],English
yield,[ 9 23 19 25  3],English
ימין,[10 13 10 23],Hebrew
romania,[20 24 18 21 13 23 21],English
צעקה,[18 16 19  5],Hebrew
העתיקים,[ 5 16 22 10 19 10 24],Hebrew
המקהלה,[ 5 13 19  5 12  5],Hebrew
fw,[11 29],English
העקורים,[ 5 16 19  6 20 10 24],Hebrew
המשמשת,[ 5 13 21 13 21 22],Hebrew
הגזע,[ 5  3  7 16],Hebrew
אבלות,[ 1  2 12  6 22],Hebrew
restaurants,[20 19  4  1 21  6 20 21 13  1  4],English
הפסקול,[ 5 17 15 19  6 12],Hebrew
chef,[ 2 10 19 11],English
generating,[16 19 13 19 20 21  1 23 13 16],English
polymer,[17 24 25  9 18 19 20],English
extremely,[19 15  1 20 19 18 19 25  9],English
copied,[ 2 24 17 23 19  3],English
ואשר,[ 6  1 21 20],Hebrew
initially,[23 13 23  1 23 21 25 25  9],English
trek,[ 1 20 19 12],English
מהפכת,[13  5 17 11 22],Hebrew
השימוש,[ 5 21 10 13  6 21],Hebrew
proxy,[17 20 24 15  9],English
honduras,[10 24 13  3  6 20 21  4],English
union,[ 6 13 23 24 13],English
לאומי,[12  1  6 13 10],Hebrew
מאכלים,[13  1 11 12 10 24],Hebrew
ferry,[11 19 20 20  9],English
המביא,[ 5 13  2 10  1],Hebrew
תאי,[22  1 10],Hebrew
לתוקף,[12 22  6 19 26],Hebrew
defendant,[ 3 19 11 19 13  3 21 13  1],English
הכריזה,[ 5 11 20 10  7  5],Hebrew
שנכתב,[21 14 11 22  2],Hebrew
למפקד,[12 13 17 19  4],Hebrew
ההיסטורית,[ 5  5 10 15  9  6 20 10 22],Hebrew
fairy,[11 21 23 20  9],English
הפשוט,[ 5 17 21  6  9],Hebrew
צבאיים,[18  2  1 10 10 24],Hebrew
competition,[ 2 24 18 17 19  1 23  1 23 24 13],English
בהיקף,[ 2  5 10 19 26],Hebrew
פאר,[17  1 20],Hebrew
התעוררה,[ 5 22 16  6 20 20  5],Hebrew
roller,[20 24 25 25 19 20],English
מצליח,[13 18 12 10  8],Hebrew
fifty,[11 23 11  1  9],English
פרסומים,[17 20 15  6 13 10 24],Hebrew
amateur,[21 18 21  1 19  6 20],English
התרחשו,[ 5 22 20  8 21  6],Hebrew
vector,[ 5 19  2  1 24 20],English
toolbar,[ 1 24 24 25 14 21 20],English
הגישה,[ 5  3 10 21  5],Hebrew
בדיתי,[ 2  4 10 22 10],Hebrew
יקרה,[10 19 20  5],Hebrew
בחבל,[ 2  8  2 12],Hebrew
בצל,[ 2 18 12],Hebrew
deutsche,[ 3 19  6  1  4  2 10 19],English
רכושם,[20 11  6 21 24],Hebrew
וכיצד,[ 6 11 10 18  4],Hebrew
לתלות,[12 22 12  6 22],Hebrew
plasma,[17 25 21  4 18 21],English
suffer,[ 4  6 11 11 19 20],English
חלפו,[ 8 12 17  6],Hebrew
חמושים,[ 8 13  6 21 10 24],Hebrew
נהגי,[14  5  3 10],Hebrew
אגודת,[ 1  3  6  4 22],Hebrew
maritime,[18 21 20 23  1 23 18 19],English
המזוין,[ 5 13  7  6 10 23],Hebrew
נא,[14  1],Hebrew
במלואה,[ 2 13 12  6  1  5],Hebrew
צחוק,[18  8  6 19],Hebrew
history,[10 23  4  1 24 20  9],English
רישומי,[20 10 21  6 13 10],Hebrew
unable,[ 6 13 21 14 25 19],English
ערוצים,[16 20  6 18 10 24],Hebrew
על,[16 12],Hebrew
קשורה,[19 21  6 20  5],Hebrew
המוזיקה,[ 5 13  6  7 10 19  5],Hebrew
corrected,[ 2 24 20 20 19  2  1 19  3],English
רכב,[20 11  2],Hebrew
הצטרפו,[ 5 18  9 20 17  6],Hebrew
פרסים,[17 20 15 10 24],Hebrew
הצי,[ 5 18 10],Hebrew
buf,[14  6 11],English
appeals,[21 17 17 19 21 25  4],English
שלוחות,[21 12  6  8  6 22],Hebrew
exist,[19 15 23  4  1],English
נעלמה,[14 16 12 13  5],Hebrew
duration,[ 3  6 20 21  1 23 24 13],English
המשכיות,[ 5 13 21 11 10  6 22],Hebrew
משחקים,[13 21  8 19 10 24],Hebrew
העירונית,[ 5 16 10 20  6 14 10 22],Hebrew
תחנת,[22  8 14 22],Hebrew
breakdown,[14 20 19 21 12  3 24 29 13],English
board,[14 24 21 20  3],English
מתואר,[13 22  6  1 20],Hebrew
מחברי,[13  8  2 20 10],Hebrew
dimensions,[ 3 23 18 19 13  4 23 24 13  4],English
ההתקפה,[ 5  5 22 19 17  5],Hebrew
חולי,[ 8  6 12 10],Hebrew
loud,[25 24  6  3],English
עברים,[16  2 20 10 24],Hebrew
prominent,[17 20 24 18 23 13 19 13  1],English
המודרניים,[ 5 13  6  4 20 14 10 10 24],Hebrew
rf,[20 11],English
רימון,[20 10 13  6 23],Hebrew
נמכרו,[14 13 11 20  6],Hebrew
הנם,[ 5 14 24],Hebrew
dear,[ 3 19 21 20],English
בטוחים,[ 2  9  6  8 10 24],Hebrew
מערכת,[13 16 20 11 22],Hebrew
giving,[16 23  5 23 13 16],English
continue,[ 2 24 13  1 23 13  6 19],English
arrested,[21 20 20 19  4  1 19  3],English
checklist,[ 2 10 19  2 12 25 23  4  1],English
tennessee,[ 1 19 13 13 19  4  4 19 19],English
rolled,[20 24 25 25 19  3],English
olympus,[24 25  9 18 17  6  4],English
campaign,[ 2 21 18 17 21 23 16 13],English
הוטל,[ 5  6  9 12],Hebrew
עלי,[16 12 10],Hebrew
rely,[20 19 25  9],English
משיריו,[13 21 10 20 10  6],Hebrew
provider,[17 20 24  5 23  3 19 20],English
anchor,[21 13  2 10 24 20],English
marcus,[18 21 20  2  6  4],English
פחם,[17  8 24],Hebrew
orchestra,[24 20  2 10 19  4  1 20 21],English
milf,[18 23 25 11],English
sie,[ 4 23 19],English
הימים,[ 5 10 13 10 24],Hebrew
ross,[20 24  4  4],English
really,[20 19 21 25 25  9],English
qt,[28  1],English
plus,[17 25  6  4],English
מתקבלת,[13 22 19  2 12 22],Hebrew
arrangement,[21 20 20 21 13 16 19 18 19 13  1],English
האומה,[ 5  1  6 13  5],Hebrew
manitoba,[18 21 13 23  1 24 14 21],English
שכבר,[21 11  2 20],Hebrew
ותנאי,[ 6 22 14  1 10],Hebrew
emergency,[19 18 19 20 16 19 13  2  9],English
המגלה,[ 5 13  3 12  5],Hebrew
מכוסה,[13 11  6 15  5],Hebrew
העולים,[ 5 16  6 12 10 24],Hebrew
third,[ 1 10 23 20  3],English
modelling,[18 24  3 19 25 25 23 13 16],English
princeton,[17 20 23 13  2 19  1 24 13],English
שמים,[21 13 10 24],Hebrew
done,[ 3 24 13 19],English
הלוחמה,[ 5 12  6  8 13  5],Hebrew
ministries,[18 23 13 23  4  1 20 23 19  4],English
בפניו,[ 2 17 14 10  6],Hebrew
חלבון,[ 8 12  2  6 23],Hebrew
limits,[25 23 18 23  1  4],English
לבגרות,[12  2  3 20  6 22],Hebrew
לגמרי,[12  3 13 20 10],Hebrew
להחלטה,[12  5  8 12  9  5],Hebrew
מהותי,[13  5  6 22 10],Hebrew
שנוצר,[21 14  6 18 20],Hebrew
מעורבים,[13 16  6 20  2 10 24],Hebrew
ולתת,[ 6 12 22 22],Hebrew
שלטונם,[21 12  9  6 14 24],Hebrew
satisfy,[ 4 21  1 23  4 11  9],English
החתונה,[ 5  8 22  6 14  5],Hebrew
stainless,[ 4  1 21 23 13 25 19  4  4],English
security,[ 4 19  2  6 20 23  1  9],English
decade,[ 3 19  2 21  3 19],English
טובה,[9 6 2 5],Hebrew
shaw,[ 4 10 21 29],English
שטרם,[21  9 20 24],Hebrew
השתלטות,[ 5 21 22 12  9  6 22],Hebrew
earth,[19 21 20  1 10],English
combines,[ 2 24 18 14 23 13 19  4],English
calculation,[ 2 21 25  2  6 25 21  1 23 24 13],English
גדודי,[ 3  4  6  4 10],Hebrew
בסיסיים,[ 2 15 10 15 10 10 24],Hebrew
שאדם,[21  1  4 24],Hebrew
soil,[ 4 24 23 25],English
lenders,[25 19 13  3 19 20  4],English
expected,[19 15 17 19  2  1 19  3],English
indexes,[23 13  3 19 15 19  4],English
sf,[ 4 11],English
house,[10 24  6  4 19],English
ru,[20  6],English
dc,[3 2],English
convergence,[ 2 24 13  5 19 20 16 19 13  2 19],English
שיח,[21 10  8],Hebrew
מאמצי,[13  1 13 18 10],Hebrew
סדרות,[15  4 20  6 22],Hebrew
asking,[21  4 12 23 13 16],English
חייבת,[ 8 10 10  2 22],Hebrew
semiconductor,[ 4 19 18 23  2 24 13  3  6  2  1 24 20],English
res,[20 19  4],English
יודעים,[10  6  4 16 10 24],Hebrew
legs,[25 19 16  4],English
cart,[ 2 21 20  1],English
הידיעה,[ 5 10  4 10 16  5],Hebrew
ladder,[25 21  3  3 19 20],English
פלוגות,[17 12  6  3  6 22],Hebrew
fetish,[11 19  1 23  4 10],English
install,[23 13  4  1 21 25 25],English
לגידול,[12  3 10  4  6 12],Hebrew
nirvana,[13 23 20  5 21 13 21],English
billion,[14 23 25 25 23 24 13],English
holes,[10 24 25 19  4],English
במחקר,[ 2 13  8 19 20],Hebrew
נוספים,[14  6 15 17 10 24],Hebrew
moment,[18 24 18 19 13  1],English
לגנוב,[12  3 14  6  2],Hebrew
south,[ 4 24  6  1 10],English
utilities,[ 6  1 23 25 23  1 23 19  4],English
משוריינות,[13 21  6 20 10 10 14  6 22],Hebrew
sim,[ 4 23 18],English
corrections,[ 2 24 20 20 19  2  1 23 24 13  4],English
לחייליו,[12  8 10 10 12 10  6],Hebrew
conversion,[ 2 24 13  5 19 20  4 23 24 13],English
צפו,[18 17  6],Hebrew
בהיותו,[ 2  5 10  6 22  6],Hebrew
במחצית,[ 2 13  8 18 10 22],Hebrew
turner,[ 1  6 20 13 19 20],English
שעוד,[21 16  6  4],Hebrew
disturbed,[ 3 23  4  1  6 20 14 19  3],English
בשנת,[ 2 21 14 22],Hebrew
כפר,[11 17 20],Hebrew
literature,[25 23  1 19 20 21  1  6 20 19],English
לבקר,[12  2 19 20],Hebrew
bookstore,[14 24 24 12  4  1 24 20 19],English
guidance,[16  6 23  3 21 13  2 19],English
strange,[ 4  1 20 21 13 16 19],English
warner,[29 21 20 13 19 20],English
italian,[23  1 21 25 23 21 13],English
johns,[ 8 24 10 13  4],English
charge,[ 2 10 21 20 16 19],English
תרשים,[22 20 21 10 24],Hebrew
addressed,[21  3  3 20 19  4  4 19  3],English
קהילות,[19  5 10 12  6 22],Hebrew
עצמאיות,[16 18 13  1 10  6 22],Hebrew
agents,[21 16 19 13  1  4],English
שלפני,[21 12 17 14 10],Hebrew
בריאותי,[ 2 20 10  1  6 22 10],Hebrew
cement,[ 2 19 18 19 13  1],English
בגודלו,[ 2  3  6  4 12  6],Hebrew
שלחו,[21 12  8  6],Hebrew
נאסרה,[14  1 15 20  5],Hebrew
position,[17 24  4 23  1 23 24 13],English
listprice,[25 23  4  1 17 20 23  2 19],English
מבעד,[13  2 16  4],Hebrew
heights,[10 19 23 16 10  1  4],English
boob,[14 24 24 14],English
הראוי,[ 5 20  1  6 10],Hebrew
נשקם,[14 21 19 24],Hebrew
race,[20 21  2 19],English
attract,[21  1  1 20 21  2  1],English
הגלים,[ 5  3 12 10 24],Hebrew
החלטה,[ 5  8 12  9  5],Hebrew
jackets,[ 8 21  2 12 19  1  4],English
תחושות,[22  8  6 21  6 22],Hebrew
album,[21 25 14  6 18],English
have,[10 21  5 19],English
indicator,[23 13  3 23  2 21  1 24 20],English
motorcycles,[18 24  1 24 20  2  9  2 25 19  4],English
qld,[28 25  3],English
rim,[20 23 18],English
para,[17 21 20 21],English
מטרים,[13  9 20 10 24],Hebrew
surf,[ 4  6 20 11],English
שחקני,[21  8 19 14 10],Hebrew
הטרופי,[ 5  9 20  6 17 10],Hebrew
x,[15],English
guards,[16  6 21 20  3  4],English
אליהם,[ 1 12 10  5 24],Hebrew
spell,[ 4 17 19 25 25],English
תוכנן,[22  6 11 14 23],Hebrew
links,[25 23 13 12  4],English
yet,[ 9 19  1],English
specializing,[ 4 17 19  2 23 21 25 23  7 23 13 16],English
בבחירות,[ 2  2  8 10 20  6 22],Hebrew
varied,[ 5 21 20 23 19  3],English
prefix,[17 20 19 11 23 15],English
עיקר,[16 10 19 20],Hebrew
לחברי,[12  8  2 20 10],Hebrew
programmes,[17 20 24 16 20 21 18 18 19  4],English
אלמנטים,[ 1 12 13 14  9 10 24],Hebrew
המבוססת,[ 5 13  2  6 15 15 22],Hebrew
פיטר,[17 10  9 20],Hebrew
arm,[21 20 18],English
בשלהי,[ 2 21 12  5 10],Hebrew
לשפה,[12 21 17  5],Hebrew
fits,[11 23  1  4],English
לכלא,[12 11 12  1],Hebrew
qualifying,[28  6 21 25 23 11  9 23 13 16],English
rc,[20  2],English
null,[13  6 25 25],English
attach,[21  1  1 21  2 10],English
pockets,[17 24  2 12 19  1  4],English
intake,[23 13  1 21 12 19],English
האידאולוגיה,[ 5  1 10  4  1  6 12  6  3 10  5],Hebrew
מחברת,[13  8  2 20 22],Hebrew
investigator,[23 13  5 19  4  1 23 16 21  1 24 20],English
granny,[16 20 21 13 13  9],English
shore,[ 4 10 24 20 19],English
להגנת,[12  5  3 14 22],Hebrew
התמודדו,[ 5 22 13  6  4  4  6],Hebrew
מתבססת,[13 22  2 15 15 22],Hebrew
בקביעות,[ 2 19  2 10 16  6 22],Hebrew
המשך,[ 5 13 21 25],Hebrew
אספקה,[ 1 15 17 19  5],Hebrew
jack,[ 8 21  2 12],English
park,[17 21 20 12],English
התהליך,[ 5 22  5 12 10 25],Hebrew
נאנח,[14  1 14  8],Hebrew
כמות,[11 13  6 22],Hebrew
וביקש,[ 6  2 10 19 21],Hebrew
junction,[ 8  6 13  2  1 23 24 13],English
גשרים,[ 3 21 20 10 24],Hebrew
צעיר,[18 16 10 20],Hebrew
ואצחק,[ 6  1 18  8 19],Hebrew
חירות,[ 8 10 20  6 22],Hebrew
בחירת,[ 2  8 10 20 22],Hebrew
להכנת,[12  5 11 14 22],Hebrew
המפעל,[ 5 13 17 16 12],Hebrew
התפקידים,[ 5 22 17 19 10  4 10 24],Hebrew
bird,[14 23 20  3],English
infrastructure,[23 13 11 20 21  4  1 20  6  2  1  6 20 19],English
jews,[ 8 19 29  4],English
bag,[14 21 16],English
would,[29 24  6 25  3],English
במחנות,[ 2 13  8 14  6 22],Hebrew
green,[16 20 19 19 13],English
ip,[23 17],English
resolve,[20 19  4 24 25  5 19],English
חוץ,[ 8  6 27],Hebrew
reader,[20 19 21  3 19 20],English
ecology,[19  2 24 25 24 16  9],English
שטחי,[21  9  8 10],Hebrew
dist,[ 3 23  4  1],English
gathered,[16 21  1 10 19 20 19  3],English
גור,[ 3  6 20],Hebrew
לצרכים,[12 18 20 11 10 24],Hebrew
פריצה,[17 20 10 18  5],Hebrew
המתוכננת,[ 5 13 22  6 11 14 14 22],Hebrew
cj,[2 8],English
פתוחה,[17 22  6  8  5],Hebrew
shipping,[ 4 10 23 17 17 23 13 16],English
lovers,[25 24  5 19 20  4],English
plaza,[17 25 21  7 21],English
mhz,[18 10  7],English
מיליארד,[13 10 12 10  1 20  4],Hebrew
לטיפול,[12  9 10 17  6 12],Hebrew
השקפה,[ 5 21 19 17  5],Hebrew
wars,[29 21 20  4],English
בסיסית,[ 2 15 10 15 10 22],Hebrew
welding,[29 19 25  3 23 13 16],English
לחיים,[12  8 10 10 24],Hebrew
עזבה,[16  7  2  5],Hebrew
types,[ 1  9 17 19  4],English
economy,[19  2 24 13 24 18  9],English
המנוע,[ 5 13 14  6 16],Hebrew
שר,[21 20],Hebrew
לנוער,[12 14  6 16 20],Hebrew
שמספר,[21 13 15 17 20],Hebrew
required,[20 19 28  6 23 20 19  3],English
נאלץ,[14  1 12 27],Hebrew
tells,[ 1 19 25 25  4],English
dash,[ 3 21  4 10],English
beaver,[14 19 21  5 19 20],English
proceedings,[17 20 24  2 19 19  3 23 13 16  4],English
לעשות,[12 16 21  6 22],Hebrew
blind,[14 25 23 13  3],English
פתוח,[17 22  6  8],Hebrew
צפופה,[18 17  6 17  5],Hebrew
פורסמו,[17  6 20 15 13  6],Hebrew
העריך,[ 5 16 20 10 25],Hebrew
address,[21  3  3 20 19  4  4],English
קלה,[19 12  5],Hebrew
wait,[29 21 23  1],English
greece,[16 20 19 19  2 19],English
מערכות,[13 16 20 11  6 22],Hebrew
אמרה,[ 1 13 20  5],Hebrew
gulf,[16  6 25 11],English
singles,[ 4 23 13 16 25 19  4],English
stockholm,[ 4  1 24  2 12 10 24 25 18],English
ההתחממות,[ 5  5 22  8 13 13  6 22],Hebrew
relatively,[20 19 25 21  1 23  5 19 25  9],English
spirituality,[ 4 17 23 20 23  1  6 21 25 23  1  9],English
centers,[ 2 19 13  1 19 20  4],English
סרטו,[15 20  9  6],Hebrew
לגרש,[12  3 20 21],Hebrew
למרידה,[12 13 20 10  4  5],Hebrew
memories,[18 19 18 24 20 23 19  4],English
achieved,[21  2 10 23 19  5 19  3],English
